n,Wartość uwarunkowania,Wartość normy
2,1.80000e+01,2.22045e-16
3,8.64000e+02,0.00000e+00
4,3.79200e+04,6.66134e-15
5,1.44200e+06,1.12044e-12
6,5.63447e+07,9.66502e-11
7,2.23248e+09,1.01038e-10
8,8.15529e+10,1.17107e-08
9,2.84317e+12,4.04141e-06
10,1.08961e+14,3.23476e-05
11,3.95176e+15,4.79331e-03
12,1.36454e+17,2.42539e-01
13,2.72539e+18,1.43459e+00
14,2.74514e+18,4.12465e+00
15,1.04335e+19,2.68684e+00
16,2.89536e+18,5.33762e+00
17,1.35473e+19,1.64827e+01
18,6.55575e+19,4.31508e+00
19,inf,7.14853e+01
20,1.25811e+19,4.08857e+00
