n,Wartość uwarunkowania,Wartość normy
2,1.80000e+01,1.78814e-07
3,8.64002e+02,2.68221e-06
4,3.79205e+04,3.08642e-14
5,1.44322e+06,7.89241e-04
6,5.79470e+07,8.52733e-02
7,4.26893e+09,7.63021e+00
8,1.02722e+10,2.28288e+00
9,3.22786e+10,8.05531e+00
10,1.54551e+10,1.06399e+01
11,9.64649e+09,3.41886e+00
12,1.25975e+10,1.11736e+01
13,2.52911e+10,1.49451e+01
14,1.84189e+10,9.35428e+00
15,4.35933e+10,2.27321e+01
16,6.39426e+10,8.02593e+01
17,1.05761e+11,6.08011e+01
18,7.64621e+10,2.00806e+01
19,8.81368e+10,4.48058e+01
20,1.71260e+11,1.20797e+01
