Liczba węzłów,Błąd średni.dla sklejania naturalnego,Błąd maks. dla sklejania naturalnego,Błąd średni dla sklejania clamped,Błąd maks. dla sklejania clamped
40,4.53044e-03,9.27455e-01,1.40052e-03,5.84940e-01
45,3.12121e-03,1.55164e-01,8.90779e-04,3.62067e-01
50,2.70270e-03,7.05989e-01,8.76939e-04,4.33568e-01
55,1.89177e-03,9.08559e-02,5.90021e-04,2.90280e-01
60,1.82933e-03,5.76510e-01,6.41732e-04,3.47503e-01
