Liczba węzłów,Błąd średni,Błąd maksymalny
2,inf,inf
3,2.48958e-01,1.92152e+01
4,1.66335e-01,1.35350e+01
5,2.14943e-01,1.65707e+01
6,2.16543e-01,1.64859e+01
7,2.49612e-01,2.21688e+01
8,2.87625e-01,3.05439e+01
9,1.82949e-01,1.75168e+01
10,1.66335e-01,1.35350e+01
11,1.62582e-01,1.19786e+01
12,1.61048e-01,1.19527e+01
13,1.60072e-01,1.19977e+01
14,1.59312e-01,1.20004e+01
15,1.58674e-01,1.19817e+01
16,1.58124e-01,1.19522e+01
17,1.57645e-01,1.19174e+01
18,1.57226e-01,1.18801e+01
19,1.56859e-01,1.18421e+01
