Liczba węzłów,Błąd średni,Błąd maksymalny
2,1.66335e-01,1.35350e+01
3,2.05786e-01,1.56543e+01
4,1.66335e-01,1.35350e+01
5,2.14692e-01,1.74766e+01
6,2.17095e-01,1.64798e+01
7,1.98392e-01,1.73055e+01
8,1.74932e-01,1.53886e+01
9,1.69595e-01,1.42861e+01
10,1.66335e-01,1.35350e+01
11,1.64066e-01,1.29780e+01
12,1.62414e-01,1.25409e+01
13,1.61175e-01,1.21876e+01
14,1.60224e-01,1.19151e+01
15,1.59481e-01,1.19670e+01
16,1.58891e-01,1.20090e+01
17,1.58418e-01,1.20437e+01
18,1.58033e-01,1.20731e+01
19,1.57718e-01,1.20983e+01
