Liczba węzłów,Błąd średni,Błąd maksymalny
2,1.66335e-01,1.35350e+01
3,2.03863e-01,1.42822e+01
4,1.66335e-01,1.35350e+01
5,1.99169e-01,1.50776e+01
6,2.09288e-01,1.60208e+01
7,1.88768e-01,1.74552e+01
8,1.74970e-01,1.53928e+01
9,1.69230e-01,1.42578e+01
10,1.66335e-01,1.35350e+01
11,1.64681e-01,1.30288e+01
12,1.63656e-01,1.26523e+01
13,1.62984e-01,1.23606e+01
14,1.62523e-01,1.23094e+01
15,1.62197e-01,1.24241e+01
16,1.61960e-01,1.25191e+01
17,1.61785e-01,1.25989e+01
18,1.61652e-01,1.26669e+01
19,1.61551e-01,1.27256e+01
