Liczba węzłów,Błąd maksymalny dla Newtona,Błąd maksymalny dla Lagrange'a,Błąd średni dla Newtona,Błąd średni dla Lagrange'a
2,3.74155e+01,3.74155e+01,4.27847e-01,4.27847e-01
3,3.36530e+01,3.36530e+01,3.87207e-01,3.87207e-01
4,3.00147e+01,3.00147e+01,3.27886e-01,3.27886e-01
5,3.16053e+01,3.16053e+01,2.81927e-01,2.81927e-01
6,2.86345e+01,2.86345e+01,3.48706e-01,3.48706e-01
7,2.42352e+01,2.42352e+01,3.34234e-01,3.34234e-01
8,2.41536e+01,2.41536e+01,2.94079e-01,2.94079e-01
9,2.41271e+01,2.41271e+01,2.75271e-01,2.75271e-01
10,3.87042e+01,3.87042e+01,2.45440e-01,2.45440e-01
11,3.62175e+01,3.62175e+01,2.24899e-01,2.24899e-01
12,1.56785e+01,1.56785e+01,1.91589e-01,1.91589e-01
13,3.77244e+01,3.77244e+01,1.47821e-01,1.47821e-01
14,3.03068e+01,3.03068e+01,1.22616e-01,1.22616e-01
15,1.35624e+01,1.35624e+01,6.91149e-02,6.91149e-02
16,2.43068e+01,2.43068e+01,5.81189e-02,5.81189e-02
17,1.38659e+00,1.38659e+00,2.24073e-02,2.24073e-02
18,1.06326e+01,1.06326e+01,2.05745e-02,2.05745e-02
19,1.20516e+00,1.20516e+00,5.80524e-03,5.80524e-03
20,3.16772e+00,3.16772e+00,5.53152e-03,5.53152e-03
21,5.99427e-01,5.99427e-01,1.38608e-03,1.38608e-03
22,7.03730e-01,7.03730e-01,1.15780e-03,1.15780e-03
23,1.65706e-01,1.65706e-01,2.96637e-04,2.96637e-04
24,1.22699e-01,1.22699e-01,1.93782e-04,1.93782e-04
25,3.26907e-02,3.26907e-02,5.27933e-05,5.27933e-05
26,1.73657e-02,1.73657e-02,2.65672e-05,2.65672e-05
27,5.00967e-03,5.00967e-03,7.67885e-06,7.67886e-06
28,2.04416e-03,2.04416e-03,3.04456e-06,3.04456e-06
29,6.23233e-04,6.23233e-04,9.23686e-07,9.23683e-07
30,2.03876e-04,2.03876e-04,2.96564e-07,2.96561e-07
31,6.47293e-05,6.47293e-05,9.35087e-08,9.34905e-08
32,1.74844e-05,1.74844e-05,2.49542e-08,2.48961e-08
33,5.72500e-06,5.72500e-06,8.40358e-09,8.09027e-09
34,1.30498e-06,1.30498e-06,3.96793e-09,1.82224e-09
35,8.85318e-07,4.37745e-07,2.90112e-09,6.06712e-10
