Liczba węzłów,Błąd maksymalny dla Newtona,Błąd maksymalny dla Lagrange'a,Błąd średni dla Newtona,Błąd średni dla Lagrange'a
60,5.70395e+01,3.84546e+01,8.03646e-02,5.13696e-02
70,1.55574e+04,9.77502e+04,2.10564e+01,1.10210e+02
80,1.03955e+08,2.40438e+08,1.36116e+05,3.70717e+05
90,1.87004e+10,9.11549e+11,2.20583e+07,1.24053e+09
100,7.87937e+13,8.16774e+14,1.29685e+11,1.05914e+12
110,3.98849e+19,1.95129e+18,6.21755e+16,2.68348e+15
120,2.46537e+24,3.22266e+21,3.29503e+21,3.50750e+18
130,1.51981e+29,5.69706e+24,1.67878e+26,6.71555e+21
140,3.11252e+33,1.62116e+28,4.10297e+30,1.78805e+25
150,9.92846e+38,2.01589e+31,1.25467e+36,2.37218e+28
160,3.52990e+43,3.18163e+34,5.43617e+40,3.28458e+31
170,4.12456e+48,1.28225e+37,6.49355e+45,1.44911e+34
180,1.02254e+53,2.30426e+41,1.37206e+50,2.53646e+38
190,4.64838e+57,3.20022e+44,7.81982e+54,3.34544e+41
200,9.83186e+61,9.73446e+47,1.38652e+59,1.05693e+45
